StreamLen	Trials	NumDistinct	EpsTotalWeight	p0.00135	p0.02275	p0.15866	p0.50	p0.84134	p0.97725	p0.99865	BoundViolationRate
32	1024	24.2	0.32	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00064485
33	1010	24.9	0.33	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00059742
35	986	26.1	0.35	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00085371
36	974	26.7	0.36	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00103938
38	953	28.1	0.38	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00085917
40	933	29.3	0.40	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00128107
41	923	29.9	0.41	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00079780
43	905	31.2	0.43	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00131248
45	888	32.4	0.45	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00121807
47	872	33.6	0.47	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00167401
49	857	34.9	0.49	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00177441
52	836	36.4	0.52	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00190739
54	823	37.7	0.54	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00225719
56	811	39.0	0.56	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00259436
59	793	40.5	0.59	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00267463
61	782	41.8	0.61	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00290467
64	767	43.4	0.64	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00285689
67	752	45.0	0.67	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00357502
70	739	46.9	0.70	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00395531
73	726	48.6	0.73	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00441939
76	714	50.1	0.76	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00458485
79	702	51.6	0.79	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00519022
83	688	53.8	0.83	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00578347
87	675	56.3	0.87	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00671547
91	662	58.3	0.91	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00709955
95	650	60.5	0.95	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00794035
99	639	62.5	0.99	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00834231
103	629	64.4	1.03	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00009877
108	616	67.5	1.08	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00033689
112	607	69.5	1.12	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.00028437
117	596	71.6	1.17	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00023440
123	584	74.4	1.23	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00034514
128	574	76.9	1.28	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00038509
134	563	80.2	1.34	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.00042073
140	553	82.9	1.40	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.00039266
146	544	86.2	1.46	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00057589
152	534	89.1	1.52	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00081924
159	525	92.2	1.59	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00084709
166	515	95.4	1.66	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00116009
173	506	98.5	1.73	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00104380
181	497	102.4	1.81	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00106078
189	488	106.7	1.89	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00144023
197	480	110.3	1.97	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00151083
206	471	114.1	2.06	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00018614
215	463	117.4	2.15	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00022079
225	454	122.3	2.25	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00018005
235	446	126.8	2.35	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	0.00021219
245	438	131.6	2.45	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.00036432
256	430	135.8	2.56	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	0.00039382
267	423	140.0	2.67	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	0.00038828
279	415	145.0	2.79	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	0.00041541
292	407	151.2	2.92	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	3.0000	0.00066623
